Sample,ID,mass,%N,%C
Zak_PP_Manistee_gradient,100-1-ms-a,0.4054,0.28938,3.5156
Zak_PP_Manistee_gradient,100-1-ms-b,0.4041,0.28469,3.4724
Zak_PP_Manistee_gradient,100-2-ms-a,0.4041,0.23421,2.9894
Zak_PP_Manistee_gradient,100-2-ms-b,0.4055,0.22483,2.8654
Zak_PP_Manistee_gradient,100-3-ms-a,0.404,0.10488,1.5977
Zak_PP_Manistee_gradient,100-3-ms-b,0.4071,0.0979,1.4813
Zak_PP_Manistee_gradient,100-4-ms-a,0.4022,0.1419,2.0548
Zak_PP_Manistee_gradient,100-4-ms-b,0.4077,0.13882,2.0011
Zak_PP_Manistee_gradient,100-5-ms-a,0.4089,0.12413,1.9552
Zak_PP_Manistee_gradient,100-5-ms-b,0.4055,0.11664,1.8485
Zak_PP_Manistee_gradient,20-1-ms-a,0.4064,0.06802,1.5834
Zak_PP_Manistee_gradient,20-1-ms-b,0.409,0.06907,1.6282
Zak_PP_Manistee_gradient,20-2-ms-a,0.4098,0.06688,1.5721
Zak_PP_Manistee_gradient,20-2-ms-b,0.4065,0.06851,1.6675
Zak_PP_Manistee_gradient,20-3-ms-a,0.402,0.10087,2.2448
Zak_PP_Manistee_gradient,20-3-ms-b,0.4053,0.09664,2.1541
Zak_PP_Manistee_gradient,20-4-ms-a,0.4046,0.09376,2.0358
Zak_PP_Manistee_gradient,20-4-ms-b,0.4016,0.10768,2.2989
Zak_PP_Manistee_gradient,20-5-ms-a,0.4029,0.10813,2.332
Zak_PP_Manistee_gradient,20-5-ms-b,0.404,0.10537,2.2905
Zak_PP_Manistee_gradient,22-1-ms-a,0.4074,0.12632,2.1025
Zak_PP_Manistee_gradient,22-1-ms-b,0.4024,0.13056,2.1648
Zak_PP_Manistee_gradient,22-2-ms-a,0.4002,0.13441,2.0974
Zak_PP_Manistee_gradient,22-2-ms-b,0.4034,0.14204,2.2084
Zak_PP_Manistee_gradient,22-3-ms-a,0.4057,0.10634,1.4335
Zak_PP_Manistee_gradient,22-3-ms-b,0.4053,0.09436,1.2491
Zak_PP_Manistee_gradient,22-4-ms-a,0.4083,0.11484,1.9773
Zak_PP_Manistee_gradient,22-4-ms-b,0.4006,0.11002,1.925
Zak_PP_Manistee_gradient,22-5-ms-a,0.4013,0.19246,3.6503
Zak_PP_Manistee_gradient,22-5-ms-b,0.4084,0.12935,2.5123
Zak_PP_Manistee_gradient,24-1-ms-a,0.4056,0.19008,2.8659
Zak_PP_Manistee_gradient,24-1-ms-b,0.4061,0.17328,2.6425
Zak_PP_Manistee_gradient,24-2-ms-a,0.4084,0.10172,1.4517
Zak_PP_Manistee_gradient,24-2-ms-b,0.4039,0.10625,1.5235
Zak_PP_Manistee_gradient,24-3-ms-a,0.4011,0.14266,1.9954
Zak_PP_Manistee_gradient,24-3-ms-b,0.4018,0.14974,2.1058
Zak_PP_Manistee_gradient,24-4-ms-a,0.4008,0.16332,2.2671
Zak_PP_Manistee_gradient,24-4-ms-b,0.4031,0.14947,2.0906
Zak_PP_Manistee_gradient,24-5-ms-a,0.4036,0.13916,1.9262
Zak_PP_Manistee_gradient,24-5-ms-b,0.4019,0.12672,1.7448
Zak_PP_Manistee_gradient,3-1-ms-a,0.4056,0.08161,2.2177
Zak_PP_Manistee_gradient,3-1-ms-b,0.4025,0.08973,2.4453
Zak_PP_Manistee_gradient,3-2-ms-a,0.4026,0.11379,2.9166
Zak_PP_Manistee_gradient,3-2-ms-b,0.4098,0.08667,2.2296
Zak_PP_Manistee_gradient,3-3-ms-a,0.4069,0.08464,2.065
Zak_PP_Manistee_gradient,3-3-ms-b,0.4009,0.07592,1.8416
Zak_PP_Manistee_gradient,3-4-ms-a,0.4012,0.06356,1.525
Zak_PP_Manistee_gradient,3-4-ms-b,0.4037,0.06789,1.6087
Zak_PP_Manistee_gradient,3-5-ms-a,0.4088,0.06837,1.7993
Zak_PP_Manistee_gradient,3-5-ms-b,0.4004,0.06431,1.6374
Zak_PP_Manistee_gradient,31-1-ms-a,0.4029,0.22186,5.4014
Zak_PP_Manistee_gradient,31-1-ms-b,0.4058,0.23307,5.7026
Zak_PP_Manistee_gradient,31-2-ms-a,0.4049,0.15627,4.5549
Zak_PP_Manistee_gradient,31-2-ms-b,0.4045,0.16412,4.7185
Zak_PP_Manistee_gradient,31-3-ms-a,0.4085,0.08819,2.0408
Zak_PP_Manistee_gradient,31-3-ms-b,0.4096,0.0862,1.9988
Zak_PP_Manistee_gradient,31-4-ms-a,0.4054,0.12973,2.9378
Zak_PP_Manistee_gradient,31-4-ms-b,0.404,0.1305,2.9161
Zak_PP_Manistee_gradient,31-5-ms-a,0.403,0.10913,2.7608
Zak_PP_Manistee_gradient,31-5-ms-b,0.4098,0.1065,2.6945
Zak_PP_Manistee_gradient,41-1-ms-a,0.4069,0.0967,1.5322
Zak_PP_Manistee_gradient,41-1-ms-b,0.4029,0.09455,1.4765
Zak_PP_Manistee_gradient,41-2-ms-a,0.4097,0.09116,1.6773
Zak_PP_Manistee_gradient,41-2-ms-b,0.4096,0.09289,1.6902
Zak_PP_Manistee_gradient,41-3-ms-a,0.4035,0.09452,1.2358
Zak_PP_Manistee_gradient,41-3-ms-b,0.4089,0.0799,1.0737
Zak_PP_Manistee_gradient,41-4-ms-a,0.4044,0.12021,1.9443
Zak_PP_Manistee_gradient,41-4-ms-b,0.4091,0.12744,2.0501
Zak_PP_Manistee_gradient,41-5-ms-a,0.4067,0.12597,1.8057
Zak_PP_Manistee_gradient,41-5-ms-b,0.4007,0.13501,1.9419
Zak_PP_Manistee_gradient,50-1-ms-a,0.4045,0.1453,3.5547
Zak_PP_Manistee_gradient,50-1-ms-b,0.4013,0.13425,3.2921
Zak_PP_Manistee_gradient,50-2-ms-a,0.4016,0.10208,2.5631
Zak_PP_Manistee_gradient,50-2-ms-b,0.4011,0.13819,3.4515
Zak_PP_Manistee_gradient,50-3-ms-a,0.4056,0.10603,2.1531
Zak_PP_Manistee_gradient,50-3-ms-b,0.4061,0.09918,2.0467
Zak_PP_Manistee_gradient,50-4-ms-a,0.4008,0.10606,2.3765
Zak_PP_Manistee_gradient,50-4-ms-b,0.4005,0.09282,2.1451
Zak_PP_Manistee_gradient,50-5-ms-a,0.4075,0.07724,1.9584
Zak_PP_Manistee_gradient,50-5-ms-b,0.409,0.0692,1.7953
Zak_PP_Manistee_gradient,58-1-ms-a,0.4078,0.087,1.9448
Zak_PP_Manistee_gradient,58-1-ms-b,0.4014,0.07714,1.7202
Zak_PP_Manistee_gradient,58-2-ms-a,0.4061,0.12843,2.6409
Zak_PP_Manistee_gradient,58-2-ms-b,0.4086,0.1297,2.7057
Zak_PP_Manistee_gradient,58-3-ms-a,0.4018,0.13683,2.8824
Zak_PP_Manistee_gradient,58-3-ms-b,0.4075,0.12665,2.6595
Zak_PP_Manistee_gradient,58-4-ms-a,0.4039,0.08605,1.5289
Zak_PP_Manistee_gradient,58-4-ms-b,0.4022,0.07777,1.3644
Zak_PP_Manistee_gradient,58-5-ms-a,0.4048,0.08092,1.7948
Zak_PP_Manistee_gradient,58-5-ms-b,0.4082,0.07614,1.6887
Zak_PP_Manistee_gradient,6-1-ms-a,0.4076,0.17407,2.7244
Zak_PP_Manistee_gradient,6-1-ms-b,0.4057,0.14589,2.2764
Zak_PP_Manistee_gradient,6-2-ms-a,0.4069,0.20835,2.827
Zak_PP_Manistee_gradient,6-2-ms-b,0.4034,0.21147,2.9563
Zak_PP_Manistee_gradient,6-3-ms-a,0.4029,0.14902,1.8686
Zak_PP_Manistee_gradient,6-3-ms-b,0.4054,0.15537,2.0782
Zak_PP_Manistee_gradient,6-4-ms-a,0.4088,0.13916,2.2226
Zak_PP_Manistee_gradient,6-4-ms-b,0.4042,0.16542,2.5613
Zak_PP_Manistee_gradient,6-5-ms-a,0.4084,0.15729,2.1268
Zak_PP_Manistee_gradient,6-5-ms-b,0.4058,0.15624,2.1227
Zak_PP_Manistee_gradient,7-1-ms-a,0.4087,0.12064,2.1205
Zak_PP_Manistee_gradient,7-1-ms-b,0.4081,0.11925,2.0778
Zak_PP_Manistee_gradient,7-2-ms-a,0.4064,0.16292,2.5177
Zak_PP_Manistee_gradient,7-2-ms-b,0.4026,0.16932,2.6348
Zak_PP_Manistee_gradient,7-3-ms-a,0.4,0.11453,1.9022
Zak_PP_Manistee_gradient,7-3-ms-b,0.4038,0.11868,1.955
Zak_PP_Manistee_gradient,7-4-ms-a,0.4086,0.12613,1.9957
Zak_PP_Manistee_gradient,7-4-ms-b,0.4076,0.13289,2.1095
Zak_PP_Manistee_gradient,7-5-ms-a,0.4054,0.12901,2.1134
Zak_PP_Manistee_gradient,7-5-ms-b,0.4094,0.11761,1.8768
Zak_PP_Manistee_gradient,9-1-ms-a,0.4003,0.11745,2.273
Zak_PP_Manistee_gradient,9-1-ms-b,0.4025,0.13159,2.487
Zak_PP_Manistee_gradient,9-2-ms-a,0.4015,0.12996,2.608
Zak_PP_Manistee_gradient,9-2-ms-b,0.4002,0.13046,2.6003
Zak_PP_Manistee_gradient,9-3-ms-a,0.4058,0.11922,2.5089
Zak_PP_Manistee_gradient,9-3-ms-b,0.4058,0.1188,2.4943
Zak_PP_Manistee_gradient,9-4-ms-a,0.4041,0.12212,2.8004
Zak_PP_Manistee_gradient,9-4-ms-b,0.4003,0.12974,2.9387
Zak_PP_Manistee_gradient,9-5-ms-a,0.4049,0.10934,2.3639
Zak_PP_Manistee_gradient,9-5-ms-b,0.4043,0.11223,2.4241