Sample ID,Del_OI,Total N (Âµg),N Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
100_5,-1.12,86.46,,Senese-Leaf-PTP,A2,Dead leaf,N15,5.496,1583251,363066,D
100_4,-1.26,87.50,,Senese-Leaf-PTP,A3,Dead leaf,N15,4.968,1583252,363067,D
100_3,-1.04,76.82,,Senese-Leaf-PTP,A4,Dead leaf,N15,4.765,1583253,363068,D
100_2,-1.26,80.11,,Senese-Leaf-PTP,A5,Dead leaf,N15,5.02,1583254,363069,D
100_1,-0.93,92.67,,Senese-Leaf-PTP,A6,Dead leaf,N15,5.473,1583255,363070,D
58_5,-5.42,82.75,,Senese-Leaf-PTP,A7,Dead leaf,N15,6.383,1583256,363071,D
58_4,-5.19,110.35,,Senese-Leaf-PTP,A8,Dead leaf,N15,7.84,1583257,363072,D
58_3,-5.25,102.70,,Senese-Leaf-PTP,A9,Dead leaf,N15,8.553,1583258,363073,D
58_2,-5.55,56.12,,Senese-Leaf-PTP,A10,Dead leaf,N15,4.586,1583259,363074,D
58_1,-5.34,57.92,,Senese-Leaf-PTP,A12,Dead leaf,N15,4.909,1583261,363076,D
50_5,-5.16,70.00,,Senese-Leaf-PTP,B1,Dead leaf,N15,6.078,1583262,363080,D
50_4,-5.01,46.28,,Senese-Leaf-PTP,B2,Dead leaf,N15,4.27,1583263,363081,D
50_3,-4.86,58.93,,Senese-Leaf-PTP,B3,Dead leaf,N15,5.195,1583264,363082,D
50_2,-4.83,58.59,,Senese-Leaf-PTP,B4,Dead leaf,N15,4.908,1583265,363083,D
50_1,-4.86,56.77,,Senese-Leaf-PTP,B6,Dead leaf,N15,5.009,1583267,363085,D
41_5,-1.94,77.12,,Senese-Leaf-PTP,B7,Dead leaf,N15,4.784,1583268,363086,D
41_4,-1.27,66.23,,Senese-Leaf-PTP,B8,Dead leaf,N15,4.311,1583269,363087,D
41_3,-1.92,123.65,,Senese-Leaf-PTP,B9,Dead leaf,N15,8.094,1583270,363088,D
41_2,-1.83,80.74,,Senese-Leaf-PTP,B10,Dead leaf,N15,5.202,1583271,363089,D
41_1,-1.58,90.00,,Senese-Leaf-PTP,B12,Dead leaf,N15,5.673,1583273,363091,D
31_5,-4.55,55.89,,Senese-Leaf-PTP,C1,Dead leaf,N15,5.238,1583274,363094,D
31_4,-4.62,50.19,,Senese-Leaf-PTP,C2,Dead leaf,N15,4.528,1583275,363095,D
31_3,-4.72,71.28,,Senese-Leaf-PTP,C3,Dead leaf,N15,6.725,1583276,363096,D
31_2,-4.24,58.93,,Senese-Leaf-PTP,C4,Dead leaf,N15,6.528,1583277,363097,D
31_1,-4.45,48.76,,Senese-Leaf-PTP,C6,Dead leaf,N15,5.211,1583279,363099,D
24_2,-1.14,89.27,,Senese-Leaf-PTP,C7,Dead leaf,N15,6.58,1583280,363100,D
24_4,-1.03,103.40,,Senese-Leaf-PTP,C8,Dead leaf,N15,7.318,1583281,363101,D
24_3,-0.97,110.61,,Senese-Leaf-PTP,C9,Dead leaf,N15,7.659,1583282,363102,D
24_5,-1.16,110.61,,Senese-Leaf-PTP,C10,Dead leaf,N15,7.578,1583283,363103,D
24_1,-1.10,84.32,,Senese-Leaf-PTP,C12,Dead leaf,N15,5.576,1583285,363105,D
22_5,-1.91,60.18,,Senese-Leaf-PTP,D1,Dead leaf,N15,4.165,1583286,363109,D
22_4,-2.62,78.09,,Senese-Leaf-PTP,D2,Dead leaf,N15,6.269,1583287,363110,D
22_3,-2.67,61.16,,Senese-Leaf-PTP,D3,Dead leaf,N15,4.447,1583288,363111,D
22_2,-1.57,73.56,,Senese-Leaf-PTP,D4,Dead leaf,N15,5.948,1583289,363112,D
22_1,-1.34,78.26,,Senese-Leaf-PTP,D6,Dead leaf,N15,5.312,1583291,363114,D
20_5,-4.77,97.66,,Senese-Leaf-PTP,D7,Dead leaf,N15,8.129,1583292,363115,D
20_4,-5.02,69.19,,Senese-Leaf-PTP,D8,Dead leaf,N15,6.315,1583293,363116,D
20_3,-4.92,55.41,,Senese-Leaf-PTP,D9,Dead leaf,N15,4.62,1583294,363117,D
20_2,-4.91,104.29,,Senese-Leaf-PTP,D10,Dead leaf,N15,8.213,1583295,363118,D
20_1,-4.72,59.81,,Senese-Leaf-PTP,D12,Dead leaf,N15,5.176,1583297,363120,D
9_5,-3.73,88.40,,Senese-Leaf-PTP,E1,Dead leaf,N15,7.262,1583298,363127,D
9_4,-4.39,67.10,,Senese-Leaf-PTP,E2,Dead leaf,N15,5.917,1583299,363128,D
9_3,-4.55,80.27,,Senese-Leaf-PTP,E3,Dead leaf,N15,5.647,1583300,363129,D
9_2,-4.32,55.41,,Senese-Leaf-PTP,E4,Dead leaf,N15,4.538,1583301,363130,D
9_1,-4.74,60.39,,Senese-Leaf-PTP,E6,Dead leaf,N15,4.527,1583303,363132,D
7_5,-2.11,70.94,,Senese-Leaf-PTP,E7,Dead leaf,N15,5.351,1583304,363133,D
7_4,-2.02,62.04,,Senese-Leaf-PTP,E8,Dead leaf,N15,4.941,1583305,363134,D
7_3,-2.06,57.51,,Senese-Leaf-PTP,E9,Dead leaf,N15,4.489,1583306,363135,D
7_2,-2.08,52.09,,Senese-Leaf-PTP,E10,Dead leaf,N15,4.3,1583307,363136,D
7_1,-2.15,88.30,,Senese-Leaf-PTP,E12,Dead leaf,N15,6.63,1583309,363138,D
6_5,-1.37,80.17,,Senese-Leaf-PTP,F1,Dead leaf,N15,5.098,1583310,363142,D
6_4,-1.97,68.38,,Senese-Leaf-PTP,F2,Dead leaf,N15,5.944,1583311,363143,D
6_2,-1.33,50.73,,Senese-Leaf-PTP,F3,Dead leaf,N15,4.859,1583312,363144,D
6_3,-1.30,67.30,,Senese-Leaf-PTP,F4,Dead leaf,N15,5.2,1583313,363145,D
6_1,-0.91,83.59,,Senese-Leaf-PTP,F6,Dead leaf,N15,5.557,1583315,363147,D
3_5,-4.85,71.14,,Senese-Leaf-PTP,F7,Dead leaf,N15,6.463,1583316,363148,D
3_4,-5.05,51.85,,Senese-Leaf-PTP,F8,Dead leaf,N15,5.112,1583317,363149,D
3_3,-5.03,72.02,,Senese-Leaf-PTP,F9,Dead leaf,N15,6.429,1583318,363150,D
3_2,-4.68,53.65,,Senese-Leaf-PTP,F10,Dead leaf,N15,5.239,1583319,363151,D
3_1,-4.86,63.93,,Senese-Leaf-PTP,F12,Dead leaf,N15,6.512,1583321,363153,D
